cntry,essround,dweight,pweight,anweight,sclmeet,wkhtot
BE,10,1.0300072,0.7180754,0.68009627,3,48
BE,10,1.0594689,0.7180754,0.5589574,6,666
BE,10,0.8965803,0.7180754,0.6327142,5,40
BE,10,0.91925496,0.7180754,0.5947702,6,42
BE,10,1.0466028,0.7180754,0.5265107,6,38
BE,10,0.88447994,0.7180754,0.4306624,5,36
BE,10,0.9405437,0.7180754,0.4936592,4,38
BE,10,1.1353306,0.7180754,0.96270806,6,666
BE,10,0.90990996,0.7180754,0.37599176,7,21
BE,10,0.8965803,0.7180754,0.9170749,7,40
BE,10,0.90990996,0.7180754,0.46504605,6,40
BE,10,1.0476425,0.7180754,0.72067577,6,30
BE,10,1.0476425,0.7180754,0.5905259,4,18
BE,10,1.0912099,0.7180754,0.6590853,4,40
BE,10,1.0466028,0.7180754,0.8650483,7,48
BE,10,0.9451825,0.7180754,0.39386272,6,40
BE,10,0.9137402,0.7180754,0.3410076,3,40
BE,10,1.0793686,0.7180754,1.5318952,7,75
BE,10,1.0793686,0.7180754,0.70080316,5,60
BE,10,1.0793686,0.7180754,0.8364039,4,31
BE,10,0.91887796,0.7180754,0.5099309,6,30
BE,10,1.0594689,0.7180754,0.6855626,7,40
BE,10,1.0877413,0.7180754,0.48692375,4,38
BE,10,0.91730326,0.7180754,0.7816128,2,30
BE,10,1.0466028,0.7180754,1.3372797,5,40
BE,10,0.90990996,0.7180754,0.51289004,7,777
BE,10,0.92502266,0.7180754,1.1935036,4,666
BE,10,0.8988748,0.7180754,0.77137727,4,666
BE,10,1.0912099,0.7180754,0.59924656,7,38
BE,10,1.0466028,0.7180754,0.8468776,7,666
BE,10,0.90990996,0.7180754,0.4611547,5,40
BE,10,0.9660232,0.7180754,0.9602012,5,40
BE,10,1.0877413,0.7180754,0.9931809,6,38
BE,10,1.0594689,0.7180754,1.0614538,6,49
BE,10,0.92516845,0.7180754,0.5553609,6,43
BE,10,1.0300072,0.7180754,0.8584284,6,666
BE,10,0.93126607,0.7180754,0.4719781,2,34
BE,10,1.0877413,0.7180754,2.4909775,4,38
BE,10,0.91451126,0.7180754,0.7399929,2,19
BE,10,1.0912099,0.7180754,0.92864215,4,38
BE,10,0.89870673,0.7180754,1.2000769,4,666
BE,10,1.0877413,0.7180754,0.88504255,3,40
BE,10,1.0793686,0.7180754,0.70080316,5,38
BE,10,0.9660232,0.7180754,0.68172,6,22
BE,10,1.0912099,0.7180754,0.6590853,7,40
BE,10,1.0476425,0.7180754,0.6095104,5,45
BE,10,0.89165807,0.7180754,0.30594498,5,21
BE,10,0.9334017,0.7180754,0.38989264,7,5
BE,10,1.0466028,0.7180754,0.7841731,6,40
BE,10,0.90990996,0.7180754,0.7220717,6,43
BE,10,1.0912099,0.7180754,0.6590853,6,38
BE,10,0.9081813,0.7180754,0.73826987,2,38
BE,10,0.89934325,0.7180754,0.67383796,6,38
BE,10,1.0793686,0.7180754,1.4801625,6,70
BE,10,1.0877413,0.7180754,0.9931809,6,45
BE,10,1.0476425,0.7180754,0.6793515,4,40
BE,10,0.8807641,0.7180754,0.531977,6,40
BE,10,0.90134495,0.7180754,0.5002012,5,30
BE,10,0.90990996,0.7180754,0.3791644,3,65
BE,10,0.90990996,0.7180754,0.4228634,2,22
BE,10,1.0476425,0.7180754,0.65457416,7,888
BE,10,0.93126607,0.7180754,0.5974998,6,20
BE,10,0.9113752,0.7180754,0.59471047,6,40
BE,10,0.91564906,0.7180754,0.6452802,2,40
BE,10,1.0912099,0.7180754,0.58543974,4,40
BE,10,0.89870673,0.7180754,0.58350444,5,50
BE,10,1.0300072,0.7180754,0.7285383,6,60
BE,10,1.0793686,0.7180754,1.4413204,5,42
BE,10,1.0912099,0.7180754,0.53228766,7,666
BE,10,1.06315,0.7180754,0.57258534,6,19
BE,10,0.9189489,0.7180754,0.55487484,6,42
BE,10,1.0594689,0.7180754,0.68362355,1,38
BE,10,0.92951554,0.7180754,1.2826422,5,40
BE,10,1.0300072,0.7180754,0.7285383,4,666
BE,10,1.0466028,0.7180754,0.48752686,6,40
BE,10,1.0476425,0.7180754,0.73931843,4,40
BE,10,0.90487105,0.7180754,0.7345652,5,0
BE,10,1.0912099,0.7180754,0.67547,4,24
BE,10,0.90582544,0.7180754,0.59108883,6,666
BE,10,1.0476425,0.7180754,0.52286834,6,38
BE,10,1.06315,0.7180754,0.781587,4,45
BE,10,0.90990996,0.7180754,0.74334186,6,888
BE,10,1.0594689,0.7180754,0.677903,4,50
BE,10,1.0877413,0.7180754,0.9879574,6,45
BE,10,1.06315,0.7180754,1.1775402,7,888
BE,10,1.06315,0.7180754,0.44409013,6,16
BE,10,0.91075015,0.7180754,1.2785251,6,40
BE,10,1.0877413,0.7180754,0.9268394,6,26
BE,10,1.0594689,0.7180754,0.6797546,6,38
BE,10,0.9189489,0.7180754,0.5346375,6,30
BE,10,0.91075015,0.7180754,1.8032863,5,12
BE,10,1.0912099,0.7180754,0.5999938,6,40
BE,10,1.0466028,0.7180754,0.7841731,6,666
BE,10,0.9660232,0.7180754,0.78420764,7,36
BE,10,0.91887796,0.7180754,0.472175,6,42
BE,10,1.0466028,0.7180754,0.7841731,5,38
BE,10,0.908247,0.7180754,1.23132,6,777
BE,10,0.92496425,0.7180754,0.43658754,5,50
BE,10,1.06315,0.7180754,0.7460475,4,40
BE,10,0.92472184,0.7180754,0.9445554,3,50
BE,10,1.0339676,0.7180754,0.50593406,6,37
BE,10,1.0476425,0.7180754,0.54987174,5,38
BE,10,0.9227364,0.7180754,0.5409225,5,38
BE,10,1.0300072,0.7180754,0.5061051,5,42
BE,10,0.93126607,0.7180754,0.60769,5,40
BE,10,0.92472184,0.7180754,1.2963488,6,50
BE,10,1.0466028,0.7180754,0.62825555,4,45
BE,10,0.91363883,0.7180754,1.1788155,7,38
BE,10,1.0912099,0.7180754,0.5150562,5,888
BE,10,1.0877413,0.7180754,0.9268394,6,34
BE,10,1.0594689,0.7180754,0.8728261,7,666
BE,10,1.0339676,0.7180754,0.50593406,5,45
BE,10,0.9173982,0.7180754,1.2860816,3,0
BE,10,1.0793686,0.7180754,0.78695065,5,60
BE,10,0.91564906,0.7180754,1.3209919,6,666
BE,10,1.0877413,0.7180754,0.51903284,4,40
BE,10,0.9430348,0.7180754,0.55010724,5,40
BE,10,0.8988748,0.7180754,0.43846723,5,38
BE,10,1.0912099,0.7180754,0.5999938,4,40
BE,10,1.0793686,0.7180754,0.70080316,5,32
BE,10,1.0466028,0.7180754,1.3372797,4,45
BE,10,0.9259795,0.7180754,0.45086914,2,50
BE,10,0.9176301,0.7180754,0.49231339,6,38
