STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,acl00,Classification of activities for time use,quant_inc,Income quantile,deg_urb,Degree of urbanisation,hhcomp,Household composition,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC42A,Informal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,BG,Bulgaria,2022,,2.4,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC42A,Informal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,CH,Switzerland,2015,,48.2,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC42A,Informal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,CH,Switzerland,2022,,29.2,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC42A,Informal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,CY,Cyprus,2015,,2.6,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC42A,Informal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,CY,Cyprus,2022,,25.2,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC42A,Informal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,CZ,Czechia,2015,,16.6,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC42A,Informal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,CZ,Czechia,2022,,12.2,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC42A,Informal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,DE,Germany,2015,,11.4,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC42A,Informal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,DE,Germany,2022,,,,u,low reliability,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC42A,Informal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,DK,Denmark,2015,,41.5,,,,,
